Dest Post,Protocol,Timestamp,Flow Duration,Flow Bytes/s,Flow Packets/s,Fwd Packets/s,Bwd Packets/s,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd Header Length,Bwd Header Length,Fwd Seg Size Min,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Act Data Packets,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Total,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Init Fwd Win Bytes,Init Bwd Win Bytes,win_byts_tot,fwd_win_tot,bwd_win_tot,win_byts_mean,fwd_win_mean,bwd_win_mean,win_byts_std,fwd_win_std,bwd_win_std,win_byts_max,fwd_win_max,bwd_win_max,win_byts_min,fwd_win_min,bwd_win_min,zero_win_cnt,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Bwd Bytes,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bulk Rate,Label,Predict
67,17,2025-04-01 14:01:58,0,0,0,0,0,1,0,350,0,350.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0,350,350,350.0,0.0,0.0,8,0,316,316.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
53,17,2025-04-01 14:01:58,5004,55.7499031579489,0.5994613242790204,0.5994613242790204,0.0,3,0,279,0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,93,93,93.0,0.0,0.0,24,0,59,59.0,0,3,2502246.4990615845,5003524.7802734375,968.2178497314453,2501278.281211853,5004492.998123169,5003524.7802734375,968.2178497314453,2502246.4990615845,2501278.281211853,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968.2178497314453,968.2178497314453,968.2178497314453,0.0,5003524.7802734375,5003524.7802734375,5003524.7802734375,0.0,3.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
53,17,2025-04-01 14:02:03,0,0,0,0,0,1,0,93,0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,93,93,93.0,0.0,0.0,8,0,59,59.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
443,6,2025-04-01 14:02:05,2096,1668.981632719225,2.385622688277909,2.385622688277909,0.0,5,0,3498,0,2229.0,105.0,699.6,804.9550546459101,0.0,0.0,0.0,0.0,2229,105,699.6,804.9550546459101,647952.64,160,0,71,665.6,0,5,523972.21326828003,1218260.7650756836,198.12583923339844,537345.1074726578,2095888.8530731201,1218260.7650756836,198.12583923339844,523972.21326828003,537345.1074726578,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,5,5,0,0,0,0.0,699.6,614,0,3070,3070,0,614.0,614.0,0,0.0,0.0,0,614,614,0,614,614,0,0,2095888.8530731201,2095888.8530731201,2095888.8530731201,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3498.0,0.0,3055.0,4.0,0.0,0.0,3480.9733664870164,0.0,Syn,Unknow
443,6,2025-04-01 14:02:07,2301,1065.736553440902,0.8692794073743084,0.8692794073743084,0.0,2,0,2452,0,2229.0,223.0,1226.0,1003.0,0.0,0.0,0.0,0.0,2229,223,1226.0,1003.0,1006009.0,64,0,189,1192.0,0,2,2300756.2160491943,2300756.2160491943,2300756.2160491943,0.0,2300756.2160491943,2300756.2160491943,2300756.2160491943,2300756.2160491943,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,2,2,0,0,0,0.0,1226.0,614,0,1228,1228,0,614.0,614.0,0,0.0,0.0,0,614,614,0,614,614,0,0,2300756.2160491943,2300756.2160491943,2300756.2160491943,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
53,17,2025-04-01 14:02:08,0,601032.7765793528,6462.718027734977,6462.718027734977,0.0,2,0,186,0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,93,93,93.0,0.0,0.0,16,0,59,59.0,0,2,309.4673156738281,309.4673156738281,309.4673156738281,0.0,309.4673156738281,309.4673156738281,309.4673156738281,309.4673156738281,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.4673156738281,309.4673156738281,309.4673156738281,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
443,6,2025-04-01 14:02:12,318,44419.03355966655,12.593106119403657,12.593106119403657,0.0,4,0,14109,0,6098.0,1962.0,3527.25,1677.1674595877419,0.0,0.0,0.0,0.0,6098,1962,3527.25,1677.1674595877419,2812890.6875,80,0,1928,3493.25,0,4,105878.03522745769,229998.11172485352,41186.80953979492,87792.43775188731,317634.10568237305,229998.11172485352,41186.80953979492,105878.03522745769,87792.43775188731,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,4,4,0,0,0,0.0,3527.25,251,0,1010,1010,0,252.5,252.5,0,2.0615528128088303,2.0615528128088303,0,255,255,0,250,250,0,0,317634.10568237305,317634.10568237305,317634.10568237305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,13893.0,4.0,0.0,0.0,43739.00582921875,0.0,Syn,Unknow
53,17,2025-04-01 14:02:13,38,15579.294566444974,105.2655038273309,52.63275191366545,52.63275191366545,2,2,186,406,93.0,93.0,93.0,0.0,233.0,173.0,203.0,30.0,233,93,148.0,58.94913061275798,3475.0,16,16,59,59.0,169.0,2,12666.38437906901,37378.07273864746,0.476837158203125,17475.636287399742,620.6035614013672,620.6035614013672,620.6035614013672,620.6035614013672,0.0,0.476837158203125,0.476837158203125,0.476837158203125,0.476837158203125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37999.15313720703,37999.15313720703,37999.15313720703,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
80,6,2025-04-01 14:02:13,1294,1114.1341407118375,10.044205152048466,6.1810493243375175,3.8631558277109486,8,5,934,508,309.0,66.0,116.75,86.73342781188808,236.0,66.0,101.6,67.27139065011218,309,66,110.92307692307692,80.15126232362786,6424.224852071007,272,168,32,82.75,67.6,2,107856.551806132,961062.9081726074,36.716461181640625,262781.80520413414,1294278.621673584,961062.9081726074,367.16461181640625,184896.94595336914,322737.436310521,288778.30505371094,241525.65002441406,526.9050598144531,72194.57626342773,99440.8268045749,2,1,0,0,2,0,0,3,11,0,0,0,0.625,110.92307692307692,64240,62643,196081,131489,64592,15083.153846153846,16436.125,12918.4,26635.198553349128,27599.580102954013,24862.300003016615,64240,64240,62643,487,501,487,0,1294278.621673584,1294278.621673584,1294278.621673584,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
443,6,2025-04-01 14:02:13,226,24377.92452328553,97.35239417540055,53.101305913854844,44.2510882615457,12,10,1803,3706,583.0,54.0,150.25,154.24284154107986,1506.0,66.0,370.6,497.30618335186625,1506,54,250.4090909090909,370.7158503969545,137430.2417355372,380,328,20,116.25,336.6,4,10761.102040608725,55927.75344848633,10.251998901367188,15870.480199113257,225983.1428527832,102123.97575378418,242.71011352539062,20543.922077525745,29100.637787512107,192518.7110900879,55927.75344848633,300.8842468261719,21390.967898898656,21391.064830630716,4,4,0,0,2,0,2,8,19,0,0,0,0.8333333333333334,250.4090909090909,64240,62643,135980,68980,67000,6180.909090909091,5748.333333333333,6700.0,18109.58329651883,17636.98624261589,18647.666711950857,64240,64240,62643,0,0,483,2,225983.1428527832,225983.1428527832,225983.1428527832,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Syn,Unknow
