Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,1,2,0,44.0,0.0,38.0,6.0,22.0,22.62741699796952,0.0,0.0,0.0,0.0,44000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,2000000.0,0.0,6.0,38.0,27.333333333333336,18.475208614068023,341.3333333333333,0,0,1,0,0,1,0,0,0.0,41.0,22.0,0.0,0,0,0,0,0,0,2,44,0,0,246,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,6165005,16,13,1317.0,10008.0,517.0,0.0,82.3125,174.90672514228837,3298.0,0.0,769.8461538461539,1041.550274523018,1836.9814785227263,4.703970231978725,220178.75,994602.5625444056,5276041.0,1.0,6165005.0,411000.33333333326,1351297.5917495887,5276041.0,1.0,566477.0,47206.41666666667,108170.310029608,279022.0,1.0,0,0,0,0,528,432,2.5952939210917103,2.108676310887015,0.0,3298.0,377.5,765.9712675803322,586711.9827586206,0,0,0,0,1,0,0,0,0.0,390.5172413793104,82.3125,769.8461538461537,0,0,0,0,0,0,16,1317,13,10008,29200,31,5,32,888963.0,0.0,888963.0,888963.0,5276041.0,0.0,5276041.0,5276041.0,BENIGN
17,13,4,0,804.0,0.0,201.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,61846153.84615385,307692.3076923077,4.333333333333333,3.2145502536643185,8.0,2.0,13.0,4.333333333333333,3.2145502536643185,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,307692.3076923077,0.0,201.0,201.0,201.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,251.25,201.0,0.0,0,0,0,0,0,0,4,804,0,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,117951509,39,32,2634.0,4726.0,439.0,0.0,67.53846153846156,160.4623002376909,788.0,0.0,147.6875,312.3554052574541,62.39852344746178,0.601942277821982,1685021.5571428568,3727368.4454656136,10242064.0,0.0,117951509.0,3103987.078947368,4641998.458171568,10243975.0,0.0,115425510.0,3723403.5483870967,4926125.158637858,10270744.0,0.0,0,0,0,0,1264,1040,0.3306443497895394,0.2712979280324425,0.0,788.0,102.2222222222222,241.07986066348928,58119.49921752737,0,0,0,0,1,0,0,0,0.0,103.66197183098592,67.53846153846153,147.6875,0,0,0,0,0,0,39,2634,32,4726,29200,290,6,32,279193.7272727273,830625.2261451118,2783623.0,28575.0,10214057.272727272,9452.265697608338,10242064.0,10207326.0,BENIGN
17,21217,2,2,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,7541.122684639676,188.5280671159919,7072.333333333334,12245.310544585356,21212.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,40,94.26403355799592,94.26403355799592,32.0,48.0,38.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,48.0,32.0,48.0,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
17,20565,2,2,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,7780.209093119378,194.50522732798444,6855.0,11868.012133461949,20559.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,40,97.2526136639922,97.2526136639922,32.0,48.0,38.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,48.0,32.0,48.0,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,77644,18,18,3458.0,17466.0,1056.0,0.0,192.11111111111111,354.1885321970057,2636.0,0.0,970.3333333333331,841.2868294534062,269486.37370563083,463.654628818711,2218.4,6111.210769609264,21804.0,1.0,76303.0,4488.411764705882,9159.628056441645,27104.0,1.0,56384.0,3316.705882352941,8059.252444897618,25577.0,2.0,0,0,0,0,400,376,231.8273144093555,231.8273144093555,0.0,2636.0,565.5135135135135,744.3113753150784,553999.4234234234,0,0,0,0,1,0,0,0,1.0,581.2222222222222,192.11111111111111,970.3333333333336,0,0,0,0,0,0,18,3458,18,17466,29200,12,16,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
17,61752,2,2,70.0,126.0,35.0,35.0,35.0,0.0,63.0,63.0,63.0,0.0,3173.9862676512503,64.77522995206633,20584.0,35647.33767057506,61746.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,32.38761497603316,32.38761497603316,35.0,63.0,46.2,15.336231610144653,235.2,0,0,0,0,0,0,0,0,1.0,57.75,35.0,63.0,0,0,0,0,0,0,2,70,2,126,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,55009,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,218.14612154374737,36.3576869239579,55009.0,0.0,55009.0,55009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,18.17884346197895,18.17884346197895,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,256,1825,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
17,45078,2,2,58.0,122.0,29.0,29.0,29.0,0.0,61.0,61.0,61.0,0.0,3993.0786636496737,88.7350814144372,15026.0,26018.001249135184,45069.0,3.0,6.0,6.0,0.0,6.0,6.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,44.3675407072186,44.3675407072186,29.0,61.0,41.8,17.527121840165314,307.2,0,0,0,0,0,0,0,0,1.0,52.25,29.0,61.0,0,0,0,0,0,0,2,58,2,122,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
