Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,119698210,34,32,1928.0,3176.0,440.0,0.0,56.70588235294119,142.0711578883741,788.0,0.0,99.24999999999996,264.4959905787951,42.640570815553545,0.5513866915804339,1841510.9230769232,3880571.4829083737,10019367.0,1.0,119669308.0,3626342.6666666656,4860422.454962761,10048300.0,1.0,119669375.0,3860302.419354839,4937563.450340244,10048335.0,2.0,0,0,0,0,704,928,0.2840476896020417,0.2673390019783921,0.0,788.0,76.17910447761193,208.5487317059386,43492.57349615559,0,0,0,0,1,0,0,0,0.0,77.33333333333333,56.70588235294117,99.25,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1928.0,32.0,3176.0,8192,290,32,20,40987.583333333336,29180.70242926224,117484.0,28570.0,9931454.583333332,227103.2482156152,10019367.0,9214077.0,BENIGN
6,116687302,72,103,2322.0,140128.0,517.0,0.0,32.25,96.01184639349104,3042.0,0.0,1360.4660194174753,569.4138165010005,1220.784074688778,1.499734735489899,670616.6781609196,6220690.682931422,58240777.0,1.0,116687302.0,1643483.1267605638,9696142.410191791,58240777.0,1.0,116648591.0,1143613.637254902,8116586.983364248,58324895.0,1.0,0,0,0,0,2320,3312,0.6170337197444157,0.8827010157454835,0.0,3042.0,809.3750000000001,789.7376390747933,623685.5385714283,0,0,0,0,1,0,0,0,1.0,814.0,32.25,1360.4660194174758,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2322.0,103.0,140128.0,29200,126,14,32,131206.0,66847.04666625145,178474.0,83938.0,58192858.0,67767.69969535634,58240777.0,58144939.0,BENIGN
0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.5,0.7071067811865476,2.0,1.0,3.0,1.5,0.7071067811865476,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,1316,4,0,129.0,0.0,46.0,6.0,32.25,18.87458608817688,0.0,0.0,0.0,0.0,98024.3161094225,3039.51367781155,438.6666666666666,755.4629926960905,1311.0,2.0,1316.0,438.6666666666666,755.4629926960905,1311.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,80,0,3039.51367781155,0.0,6.0,46.0,35.0,17.464249196572982,305.0,0,0,1,0,0,1,0,0,0.0,43.75,32.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,129.0,0.0,0.0,255,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,16568168,34,34,5456.0,22892.0,517.0,0.0,160.47058823529414,208.79832741901177,2518.0,0.0,673.2941176470589,748.7872024212248,1710.9918248052531,4.104255823576874,247286.0895522388,1402579.933285106,10030106.0,0.0,10773386.0,326466.2424242425,1742633.131198769,10030106.0,0.0,16538861.0,501177.6060606061,1986429.453927196,10059476.0,1.0,0,0,0,0,1104,1104,2.052127911788437,2.052127911788437,0.0,2518.0,410.84057971014494,601.2642959823811,361518.7536231884,0,0,0,0,1,0,0,0,1.0,416.8823529411765,160.47058823529414,673.2941176470587,0.0,0.0,0.0,0.0,0.0,0.0,34.0,5456.0,34.0,22892.0,29200,41,14,32,386324.0,504807.77372976346,743277.0,29371.0,7897758.0,3015595.461299145,10030106.0,5765410.0,BENIGN
6,3098392,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58198446161751,442627.4285714286,790724.5011078673,2016074.0,1.0,2.0,2.0,0.0,2.0,2.0,3043366.0,608673.2,903806.0827700818,2016074.0,1.0,0,0,0,0,64,192,0.6454961154043775,1.9364883462131324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,8192,29200,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,60638469,30,28,5592.0,13026.0,2153.0,0.0,186.40000000000003,482.5620989161341,1912.0,0.0,465.21428571428567,743.2113680280581,307.03281773159546,0.9564885287588644,1063832.7894736845,3100565.5751866964,10176780.0,1.0,60638469.0,2090981.6896551729,4150861.692983975,10240039.0,1.0,60574985.0,2243517.9629629627,4266971.702378763,10240251.0,1.0,0,0,0,0,976,912,0.4947354459097574,0.4617530828491069,0.0,2153.0,315.5593220338983,628.2717200215548,394725.3541788429,0,0,0,0,1,0,0,0,0.0,321.0,186.4,465.21428571428567,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5592.0,28.0,13026.0,29200,126,7,32,85888.66666666669,55081.88697808624,198324.0,63263.0,10020495.5,272543.874555823,10176780.0,9481814.0,BENIGN
17,21720,2,2,112.0,368.0,56.0,56.0,56.0,0.0,184.0,184.0,184.0,0.0,22099.44751381216,184.1620626151013,7240.0,12534.851694375964,21714.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,92.08103130755065,92.08103130755065,56.0,184.0,107.2,70.10848736066126,4915.2,0,0,0,0,0,0,0,0,1.0,134.0,56.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,112.0,2.0,368.0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,58774218,26,23,5670.0,6780.0,1888.0,0.0,218.07692307692304,510.6402979066124,2525.0,0.0,294.7826086956522,607.7379037741471,211.8275737841378,0.8336988847729119,1224462.875,8402764.636322312,58227227.0,0.0,58774218.0,2350968.72,11659159.60374541,58314388.0,0.0,58524994.0,2660227.0,12420279.221101671,58268389.0,1.0,0,0,0,0,544,484,0.4423708368182797,0.3913280479546321,0.0,2525.0,249.0,549.2017955586981,301622.612244898,0,0,0,0,1,0,0,0,0.0,254.0816326530613,218.0769230769231,294.7826086956522,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5670.0,23.0,6780.0,8192,268,24,20,297690.0,0.0,297690.0,297690.0,58227227.0,0.0,58227227.0,58227227.0,BENIGN
17,21029,2,2,62.0,156.0,31.0,31.0,31.0,0.0,78.0,78.0,78.0,0.0,10366.636549526844,190.2135146702173,7009.666666666666,12139.366759981072,21027.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,40,95.10675733510868,95.10675733510868,31.0,78.0,49.8,25.74296020274281,662.7,0,0,0,0,0,0,0,0,1.0,62.25,31.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,2.0,156.0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,1,2,0,31.0,0.0,31.0,0.0,15.5,21.92031021678297,0.0,0.0,0.0,0.0,31000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,2000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,1,0,0,1,0,0,0.0,31.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,586,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,153,4,0,123.0,0.0,46.0,0.0,30.75,21.68524844220144,0.0,0.0,0.0,0.0,803921.568627451,26143.7908496732,51.0,85.73797291748855,150.0,1.0,153.0,51.0,85.73797291748855,150.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,128,0,26143.7908496732,0.0,0.0,46.0,33.8,19.979989989987484,399.2,0,0,1,0,0,1,0,0,0.0,42.25,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,123.0,0.0,0.0,710,-1,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,227,1,2,6.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,79295.15418502202,13215.859030837006,113.5,157.6848122046001,225.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,20,40,4405.286343612335,8810.57268722467,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,12.0,4354,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,1065800,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62957402889848,213160.0,453641.9481755408,1024016.0,3.0,1024024.0,341341.3333333334,591213.6038542527,1024016.0,3.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,128,64,3.7530493525989854,1.8765246762994927,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,241,285,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
17,21131,2,2,94.0,206.0,47.0,47.0,47.0,0.0,103.0,103.0,103.0,0.0,14197.151105011591,189.29534806682125,7043.666666666666,12198.256487438412,21129.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,40,94.64767403341062,94.64767403341062,47.0,103.0,69.4,30.672463220289305,940.8,0,0,0,0,0,0,0,0,1.0,86.75,47.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,94.0,2.0,206.0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
17,20930,2,2,58.0,166.0,29.0,29.0,29.0,0.0,83.0,83.0,83.0,0.0,10702.341137123743,191.11323459149543,6976.666666666666,12080.477073912823,20926.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,95.55661729574771,95.55661729574771,29.0,83.0,50.6,29.57701810527897,874.8,0,0,0,0,0,0,0,0,1.0,63.25,29.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,2.0,166.0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,3,3,0,18.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6000000.0,1000000.0,1.5,2.1213203435596424,3.0,0.0,3.0,1.5,2.1213203435596424,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,1000000.0,0.0,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,250,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
6,1,2,0,430.0,0.0,399.0,31.0,215.0,260.2152954766495,0.0,0.0,0.0,0.0,430000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,2000000.0,0.0,31.0,399.0,276.3333333333333,212.4648990617823,45141.33333333334,0,0,1,0,0,1,0,0,0.0,414.5,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,430.0,0.0,0.0,12,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
